name,team21,pos21,gp_21,points21,owned22,projected22,actual21,passyd_21,passtds21,int21,runyds21,runtds21,run1st21,rec21,recyds21,rectds21,pass1st21,returnyds21,returntds21,twopoint21,fumble21,pick21,salary21,gp20,points20,owners21,project21,actual20,passyds20,passtd20,passint20,rushyds20,rushtd20,rush1st20,recepts20,recyds20,rectd20,rec1st20,returnyds20,returntd20,pt20,fumble20,pick20,salary20,gp19,points19,owners20,project20,actual19,passyds19,passtd19,passint19,rushyds19,rushtd19,rush1st19,recepts19,recyds19,rectd19,rec1st19,returnyds19,returntd19,pt19,fumble19,pick19,salary19
DeAndre Hopkins,Ari,WR,10,176.13,83%,116,148,0,0,0,0,0,0,42,572,8,32,0,0,0,0,29,47,16,327.89999,100,21,18,0,0,0,1,0,0,115,1407,6,75,0,0,0,2,24,36,15,313.70999,100,-,16,6,1,1,18,0,2,104,1165,7,68,0,0,1,0,22,56
A.J. Green,Ari,WR,16,171.53,7%,255,158,0,0,0,0,0,0,54,848,3,37,0,0,0,0,,,16,131.87,17,248,200,0,0,0,0,0,0,47,523,2,34,0,0,0,0,67,13,,,,,,,,,,,,,,,,,,,,74,13
Marquise Brown,Ari,WR,16,246.7,92%,64,74,0,0,0,5,0,1,91,1008,6,41,0,0,0,1,195,1,16,211.37,70,105,90,0,0,0,1,0,0,58,769,8,35,30,0,0,0,98,10,14,164.92999,93,-,150,0,0,0,0,0,0,46,584,7,24,0,0,0,0,154,2
Olamide Zaccheaus,Atl,WR,17,112.97,0%,1884,252,0,0,0,2,0,1,31,406,3,22,77,0,0,0,,,11,62.27,1,1959,346,0,0,0,0,0,0,20,274,1,16,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
Damiere Byrd,Atl,WR,17,73.93,0%,1875,315,0,0,0,0,0,0,26,329,1,18,0,0,1,1,,,16,126.77,1,1781,214,0,0,0,15,0,1,47,604,1,29,0,0,0,0,,,11,83.830002,0,-,293,0,0,0,0,0,0,32,359,1,16,59,0,0,1,,
Calvin Ridley,Atl,WR,5,81.730003,2%,322,298,0,0,0,0,0,0,31,281,2,16,0,0,0,0,64,37,15,319.70001,100,14,22,0,0,0,1,0,1,90,1374,9,65,0,0,1,1,70,20,13,231.13,97,-,81,0,0,0,34,0,2,63,866,7,47,0,0,1,0,104,15
Devin Duvernay,Bal,WR,16,196.73,7%,2047,120,0,0,0,50,0,3,33,272,2,14,1036,0,0,0,,,16,117.8,1,2286,228,0,0,0,70,0,3,20,201,0,8,624,1,0,0,,,,,,,,,,,,,,,,,,,,,,,
Cole Beasley,Buf,WR,16,172.2,1%,326,156,0,0,0,0,0,0,82,693,1,34,0,0,1,0,137,1,15,236.27,52,146,63,20,1,0,0,0,0,82,967,4,53,0,0,0,0,,,15,207.87,9,-,106,0,0,0,0,0,0,67,778,6,37,0,0,2,0,,
Stefon Diggs,Buf,WR,17,330.67001,100%,10,20,0,0,0,0,0,0,103,1225,10,66,0,0,0,0,38,42,16,366.42999,100,10,14,0,0,0,1,0,0,127,1535,8,73,0,0,0,0,69,11,15,230.42999,96,-,82,0,0,0,61,0,3,63,1130,6,41,0,0,0,3,61,35
Isaiah McKenzie,Buf,WR,15,138.67,9%,198,216,0,0,0,47,1,4,20,178,1,13,731,0,0,1,,,16,128.78,0,1790,206,12,1,0,9,0,2,30,282,5,17,116,1,0,0,,,15,79.730003,0,-,300,0,0,0,49,0,4,27,254,1,12,69,0,0,0,,
Gabriel Davis,Buf,WR,16,148.60001,92%,61,198,0,0,0,0,0,0,35,549,6,29,0,0,0,0,,,16,157.92999,19,235,164,0,0,0,0,0,0,35,599,7,27,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
Jamison Crowder,Buf,WR,12,121.8,9%,259,238,0,0,0,0,0,0,51,447,2,23,0,0,2,1,181,2,12,194.52,41,153,105,43,1,0,14,0,1,59,699,6,32,8,0,0,0,99,4,16,222.92999,61,-,90,0,0,0,4,0,0,78,833,6,41,0,0,0,0,171,2
Emmanuel Sanders,Buf,WR,14,151.83,1%,262,188,0,0,0,31,0,2,42,626,4,31,0,0,0,0,,,14,184.60001,22,225,115,0,0,0,12,0,1,61,726,5,33,0,0,0,0,130,3,17,212.33,72,-,101,35,1,0,0,0,0,66,869,5,41,0,0,1,0,158,6
Tavon Austin,Buf,WR,13,58.599998,0%,2411,345,0,0,0,21,0,1,24,213,1,11,3,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,14,59.900002,0,-,341,0,0,0,47,1,2,13,177,1,8,84,0,0,0,,
DJ Moore,Car,WR,17,273.13,98%,29,52,0,0,0,48,0,4,93,1157,4,60,22,0,1,1,93,11,15,233.73,96,45,66,0,0,0,22,0,1,66,1193,4,53,0,0,0,0,56,21,15,269.42999,99,-,44,0,0,0,40,0,3,87,1175,4,63,41,0,0,1,126,9
Andre Roberts,Car,WR,16,117.13,0%,2551,245,0,0,0,19,0,0,1,35,0,1,1109,1,0,2,,,15,128.67,0,2429,207,0,0,0,-3,0,0,4,34,0,2,1247,0,0,2,,,13,94.730003,0,-,268,0,0,0,7,0,0,3,20,0,1,887,0,0,0,,
Rashard Higgins,Car,WR,15,66.330002,0%,1887,332,0,0,0,0,0,0,24,275,1,16,0,0,0,0,,,13,134.92999,3,257,195,0,0,0,0,0,0,37,599,4,26,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
Byron Pringle,Chi,WR,17,211.97,1%,263,106,0,0,0,0,0,0,42,568,5,32,621,0,0,1,,,13,77.07,1,1820,310,0,0,0,0,0,0,13,160,1,9,324,1,0,0,,,16,42.43,0,-,385,0,0,0,0,0,0,12,170,1,7,41,0,0,0,,
Tajae Sharpe,Chi,WR,15,54.330002,0%,2449,358,0,0,0,0,0,0,25,230,0,14,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,15,98.93,0,-,261,0,0,0,0,0,0,25,329,4,20,0,0,0,0,,
Darnell Mooney,Chi,WR,17,244.53,89%,74,76,0,0,0,32,1,2,81,1055,4,49,10,0,0,0,170,5,16,173.57001,51,143,136,0,0,0,20,0,1,61,631,4,33,5,0,1,0,,,,,,,,,,,,,,,,,,,,,,,
Tee Higgins,Cin,WR,14,247.73,99%,23,72,0,0,0,0,0,0,74,1091,6,53,0,0,1,1,49,14,16,229.33,91,59,72,0,0,0,28,0,1,67,908,6,52,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,
Tyler Boyd,Cin,WR,16,204.34,52%,124,114,46,0,0,22,0,1,67,828,5,37,1,0,0,0,61,8,15,217.61,83,93,80,16,0,0,49,0,2,79,841,4,43,0,0,0,0,121,8,16,249.92999,92,-,58,0,0,0,23,0,1,90,1046,5,51,-1,0,0,2,121,18
Donovan Peoples-Jones,Cle,WR,14,131.3,5%,224,230,0,0,0,0,0,0,34,597,3,26,95,0,0,1,,,12,107.87,2,339,251,0,0,0,0,0,0,14,304,2,10,456,0,1,0,,,,,,,,,,,,,,,,,,,,,,,
Amari Cooper,Cle,WR,15,234.67,93%,72,89,0,0,0,0,0,0,68,865,8,45,0,0,0,0,81,23,16,264.67001,97,35,48,0,0,0,14,0,1,92,1114,5,54,0,0,1,0,71,22,16,276.87,99,-,41,0,0,0,6,0,0,79,1189,8,54,0,0,0,0,47,28
James Washington,Dal,WR,15,70.300003,2%,2045,329,0,0,0,13,0,1,24,285,2,9,0,0,0,0,,,16,115.13,2,250,231,0,0,0,0,0,0,30,392,5,19,0,0,0,0,,,15,146,18,-,170,0,0,0,0,0,0,44,735,3,31,0,0,0,1,122,6
Michael Gallup,Dal,WR,9,103.67,44%,215,264,0,0,0,0,0,0,35,445,2,23,0,0,0,0,144,2,16,199.2,65,118,99,0,0,0,0,0,0,59,843,5,44,0,0,0,0,81,12,14,237.8,93,-,72,0,0,0,0,0,0,66,1107,6,50,0,0,0,0,194,1
CeeDee Lamb,Dal,WR,16,279.97,100%,14,47,0,0,0,76,0,4,79,1102,6,54,139,0,0,0,5,30,16,264.42999,97,29,49,0,0,0,82,1,4,74,935,5,46,219,1,1,1,129,6,,,,,,,,,,,,,,,,,,,,,
Tim Patrick,Den,WR,16,181.92999,15%,2000,141,0,0,0,0,0,1,53,734,5,39,0,0,0,0,,,15,181.47,5,231,122,0,0,0,0,0,0,51,742,6,33,0,0,0,0,,,8,43.130001,0,-,381,0,0,0,0,0,0,16,218,0,14,-14,0,0,0,,
Courtland Sutton,Den,WR,17,163.37,96%,53,170,16,0,0,0,0,0,58,776,2,35,0,0,1,0,156,3,,,,,,,,,,,,,,,,,,,,45,15,16,248.35001,97,-,62,38,0,0,17,0,1,72,1112,6,50,0,0,0,0,40,7
Jerry Jeudy,Den,WR,10,91.43,94%,63,284,0,0,0,3,0,0,38,467,0,22,0,0,0,0,75,8,16,174.07001,87,97,135,0,0,0,0,0,0,52,856,3,39,0,0,1,0,188,1,,,,,,,,,,,,,,,,,,,,,
Kalif Raymond,Det,WR,16,174.8,1%,1847,151,0,0,0,28,0,2,48,576,4,28,236,0,0,0,,,15,76.470001,0,2369,311,0,0,0,-3,0,0,9,187,0,7,483,0,0,0,,,8,76.629997,0,-,308,0,0,0,-5,0,0,9,170,1,6,448,0,0,1,,
Quintez Cephus,Det,WR,5,55.599998,0%,297,355,0,0,0,0,0,0,15,204,2,9,0,0,1,0,,,13,75.269997,3,338,313,0,0,0,0,0,0,20,349,2,16,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
Josh Reynolds,Det,WR,12,92.400002,1%,292,281,0,0,0,0,0,0,29,396,2,21,0,0,0,0,,,16,138.7,5,226,191,0,0,0,5,0,0,52,618,2,31,0,0,0,1,,,16,70.029999,4,-,323,0,0,0,23,0,2,21,326,1,15,0,0,0,0,,
Randall Cobb,GB,WR,12,112.1,4%,271,254,0,0,0,1,0,0,28,375,5,21,0,0,0,1,,,10,111.4,12,282,241,0,0,0,0,0,0,38,441,3,20,0,0,0,0,,,15,178.8,10,-,133,0,0,0,11,0,0,55,828,3,41,45,0,0,1,,
Sammy Watkins,GB,WR,13,76.269997,12%,229,308,0,0,0,0,0,0,27,394,1,17,0,0,0,1,,,10,104.37,15,253,257,0,0,1,3,0,0,37,421,2,27,0,0,0,1,196,1,14,153.07001,50,-,162,0,0,0,12,0,1,52,673,3,30,0,0,1,1,81,12
Allen Lazard,GB,WR,15,171.39999,86%,98,159,0,0,0,32,0,2,40,513,8,28,0,0,0,0,,,10,112.77,9,217,236,0,0,0,17,0,1,33,451,3,23,0,0,0,0,156,7,16,117.9,27,-,219,0,0,0,21,0,1,35,477,3,24,0,0,0,0,,
Chris Conley,Hou,WR,16,73.830002,0%,1904,316,0,0,0,3,0,1,22,323,2,15,0,0,0,1,,,15,109.4,1,1776,245,0,0,0,0,0,0,40,471,2,24,0,0,0,1,,,16,176.67,2,-,137,0,0,0,0,0,0,47,775,5,36,0,0,1,0,,
Brandin Cooks,Hou,WR,16,255.23,93%,56,67,0,0,0,21,0,1,90,1037,6,45,0,0,0,0,123,6,15,256.67001,81,89,52,0,0,0,0,0,0,81,1150,6,51,0,0,0,0,109,6,14,137.07001,84,-,180,0,0,0,52,0,3,42,583,2,32,0,0,0,0,109,24
T.Y. Hilton,Ind,WR,10,84.07,1%,335,295,0,0,0,0,0,0,23,331,3,15,0,0,0,0,177,1,15,190.8,52,157,108,0,0,0,0,0,0,56,762,5,42,0,0,1,0,62,13,10,142.39999,95,-,173,0,0,0,0,0,0,45,501,5,24,0,0,0,0,42,39
Michael Pittman Jr.,Ind,WR,17,269.53,99%,27,56,0,0,0,44,0,1,88,1082,6,54,0,0,1,0,153,2,13,107.13,61,127,253,0,0,0,26,0,1,40,503,1,22,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
Jamal Agnew,Jax,WR,10,145.27,1%,1856,206,0,0,0,111,1,3,24,229,1,14,599,1,0,0,,,14,127.33,0,2383,213,0,0,0,33,0,3,13,89,0,4,961,1,0,1,,,,,,,,,,,,,,,,,,,,,,,
Christian Kirk,Jax,WR,17,229.39,74%,100,92,33,0,0,11,0,1,77,982,5,44,-5,0,0,0,,,14,183.89999,34,185,116,0,0,0,3,0,1,48,621,6,30,152,0,0,0,132,6,13,189.47,56,-,121,0,0,0,93,0,4,68,709,3,31,39,0,1,0,72,21
Laviska Shenault Jr.,Jax,WR,16,138.37,3%,268,217,0,0,0,41,0,2,63,619,0,30,0,0,0,1,133,4,14,186.10001,63,117,114,0,0,0,91,0,6,58,600,5,33,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
Marvin Jones Jr.,Jax,WR,17,202.47,7%,211,117,0,0,0,0,0,0,73,832,4,42,0,0,0,0,176,1,16,265.20001,59,119,46,0,0,0,0,0,0,76,978,9,52,0,0,0,0,92,5,13,226.92999,79,-,85,0,0,0,0,0,0,62,779,9,41,0,0,0,0,198,3
Mecole Hardman,KC,WR,17,176,37%,168,149,0,0,0,46,0,2,59,693,2,33,192,0,0,2,99,10,16,176.42999,54,152,133,0,0,0,31,0,2,41,560,4,23,360,1,1,2,110,6,16,217.67,64,-,98,0,0,0,17,0,1,26,538,6,18,871,1,0,2,,
Marquez Valdes-Scantling,KC,WR,11,96.669998,49%,143,275,0,0,0,0,0,0,26,430,3,18,0,0,0,0,,,16,154.3,8,245,168,0,0,0,13,0,1,33,690,6,27,0,0,0,1,,,16,87.029999,2,-,284,0,0,0,9,0,0,26,452,2,14,0,0,0,0,174,1
DeAndre Carter,LAC,WR,17,205.42999,0%,2085,112,0,0,0,89,0,4,24,296,3,17,1038,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,16,78,0,-,302,0,0,0,0,0,0,11,162,0,6,522,0,0,1,,
Jalen Guyton,LAC,WR,16,114.47,1%,1869,251,0,0,0,34,0,2,31,448,3,21,32,0,0,0,,,16,104.07,2,1803,258,0,0,0,0,0,0,28,511,3,18,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
Keenan Allen,LAC,WR,16,297.87,100%,30,39,0,0,0,0,0,0,106,1138,6,66,0,0,1,0,52,27,14,289.03,99,26,35,0,0,0,-1,0,0,100,992,8,61,0,0,1,2,49,19,16,297.53,96,-,26,0,0,0,16,0,1,104,1199,6,63,0,0,0,0,45,35
Mike Williams,LAC,WR,16,277.39999,97%,39,50,0,0,0,0,0,0,76,1146,9,51,0,0,1,0,173,1,15,173.5,71,126,137,0,0,0,1,0,0,48,756,5,35,0,0,0,0,149,2,15,172.92999,67,-,141,0,0,0,2,0,0,49,1001,2,41,0,0,0,0,103,18
Allen Robinson II,LAR,WR,12,97.330002,95%,45,273,0,0,0,0,0,0,38,410,1,22,0,0,1,0,24,27,16,301.23001,99,25,27,0,0,0,-1,0,0,102,1250,6,68,0,0,0,0,42,25,16,293.67001,99,-,28,0,0,0,2,0,0,98,1147,7,63,0,0,0,0,112,12
Odell Beckham Jr.,LAR,WR,14,149.2,17%,206,196,0,0,0,14,0,1,44,537,5,27,0,0,0,0,28,15,7,99.190002,93,63,269,18,0,0,72,1,2,23,319,3,17,0,0,0,0,32,26,16,219.2,100,-,94,20,0,0,10,0,1,74,1035,4,44,-6,0,0,1,26,44
